date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:12:32	644/644	---M--	404	error ('Not%20Found')	text/html	etag:%22284-4babdb4198800%22	https://process.org/robots.txt		(from )
06:12:33	1535/1535	---M--	200	added ('OK')	text/html	etag:%2261d3bf37-5ff%22	https://process.org/	C:/PROCESS/PROCESS/process.org/index.html	(from )
06:12:34	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:17%20GMT	http://www.w3.org/1999/xhtml	C:/PROCESS/PROCESS/www.w3.org/1999/xhtml.0.delayed	(from https://process.org/)
06:12:36	2725/2725	---M-Z	200	added ('OK')	text/html	etag:%22aa5-53beb90aa8180;eb-4d3672e1409c0	https://www.w3.org/1999/xhtml/	C:/PROCESS/PROCESS/www.w3.org/1999/xhtml/index.html	(from https://process.org/)
06:12:37	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%224f58dd1e-47e%22	https://www.process.org/favicon.ico	C:/PROCESS/PROCESS/www.process.org/favicon.ico	(from https://process.org/)
06:12:38	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:20%20GMT	http://www.process.org/discept	C:/PROCESS/PROCESS/www.process.org/discept.3.delayed	(from https://process.org/)
06:12:38	69435/69435	---M--	200	added ('OK')	image/gif	etag:%224f58dd1e-10f3b%22	https://process.org/proc.gif	C:/PROCESS/PROCESS/process.org/proc.gif	(from https://process.org/)
06:12:39	306/306	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:21%20GMT	https://www.process.org/discept	C:/PROCESS/PROCESS/www.process.org/discept	(from https://process.org/)
06:12:39	4817/4817	---M--	200	added ('OK')	text/html	etag:%2261d3bf17-12d1%22	https://process.org/tor.html	C:/PROCESS/PROCESS/process.org/tor.html	(from https://process.org/)
06:12:40	54653/54653	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:22%20GMT	https://www.process.org/discept/	C:/PROCESS/PROCESS/www.process.org/discept/index.html	(from https://process.org/)
06:12:41	1163/1163	---M-Z	200	added ('OK')	text/plain	etag:%22ddc-5e274ce6eb9c0-gzip%22	https://www.w3.org/robots.txt		(from https://process.org/)
06:12:42	644/644	---M--	404	error ('Not%20Found')	text/html	etag:%22284-4babdb4198800%22	https://www.process.org/robots.txt		(from https://process.org/)
06:12:42	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2011%20Nov%202022%2006:11:24%20GMT	https://www.process.org/discept/xmlrpc.php	C:/PROCESS/PROCESS/www.process.org/discept/xmlrpc.php	(from https://www.process.org/discept/)
06:12:43	5178/5178	---M--	200	added ('OK')	application/javascript	etag:%224f58dd1e-143a%22	https://www.process.org/js/sweetTitles.js	C:/PROCESS/PROCESS/www.process.org/js/sweetTitles.js	(from https://www.process.org/discept/)
06:12:44	3438/3438	---M--	200	added ('OK')	application/javascript	etag:%224f58dd1e-d6e%22	https://www.process.org/discept/wp-content/plugins/ck-karma/ck-karma.js	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/plugins/ck-karma/ck-karma.js	(from https://www.process.org/discept/)
06:12:44	0/0	---M--	301	error ('Moved%20Permanently')	application/rss+xml	etag:%22106aa96ef923a7f83005504e48a57737%22	https://www.process.org/discept/feed/rss/	C:/PROCESS/PROCESS/www.process.org/discept/feed/rss/index.html	(from https://www.process.org/discept/)
